Query_ID,Modelo,Versao,Top_10
1,Vetorial,Original,"['51', '184', '12', '359', '746', '486', '879', '878', '56', '13']"
1,Vetorial,Modificada,"['51', '184', '12', '359', '746', '486', '56', '13', '435', '874']"
1,BM25,Original,"['51', '486', '12', '184', '878', '573', '665', '746', '944', '141']"
1,BM25,Modificada,"['486', '51', '12', '184', '746', '878', '141', '13', '78', '747']"
2,Vetorial,Original,"['12', '51', '746', '1169', '884', '184', '100', '253', '429', '792']"
2,Vetorial,Modificada,"['12', '51', '746', '884', '1169', '184', '253', '100', '284', '810']"
2,BM25,Original,"['12', '746', '51', '1089', '100', '1169', '184', '141', '172', '810']"
2,BM25,Modificada,"['12', '51', '284', '184', '746', '810', '1169', '14', '1361', '884']"
3,Vetorial,Original,"['236', '166', '488', '1312', '167', '1011', '110', '185', '317', '1061']"
3,Vetorial,Modificada,"['236', '166', '488', '167', '1312', '185', '1189', '317', '1011', '110']"
3,BM25,Original,"['488', '166', '236', '1312', '259', '1061', '1189', '1011', '167', '110']"
3,BM25,Modificada,"['488', '166', '236', '1189', '167', '259', '1312', '1061', '185', '1011']"
4,Vetorial,Original,"['554', '1348', '716', '507', '509', '898', '1217', '1379', '164', '1345']"
4,Vetorial,Modificada,"['958', '554', '716', '507', '1348', '1217', '1379', '164', '1345', '1219']"
4,BM25,Original,"['509', '716', '1217', '82', '1219', '898', '274', '1379', '1348', '554']"
4,BM25,Modificada,"['716', '1217', '1219', '163', '274', '509', '1379', '1291', '82', '958']"
5,Vetorial,Original,"['930', '1070', '1058', '1059', '926', '1068', '1044', '898', '830', '1361']"
5,Vetorial,Modificada,"['930', '1058', '1070', '1059', '1044', '926', '898', '830', '931', '1048']"
5,BM25,Original,"['930', '1058', '1070', '1059', '1068', '926', '1053', '743', '931', '830']"
5,BM25,Modificada,"['1058', '930', '1059', '1070', '931', '926', '830', '1048', '743', '852']"
