Query_ID,Modelo,Stopwords_Removidas,Stemming_Aplicado,Top_10,P@10,R@10,F1@10,AP
1,Vetorial,0,0,"[('184', np.float64(0.2488), 2), ('13', np.float64(0.2361), 4), ('12', np.float64(0.2049), 3), ('51', np.float64(0.1624), 3), ('486', np.float64(0.1546), -1), ('1268', np.float64(0.1451), 0), ('14', np.float64(0.1218), 4), ('878', np.float64(0.1214), 0), ('327', np.float64(0.1205), 0), ('792', np.float64(0.119), 0)]",0.5,0.17857142857142858,0.2631578947368421,0.270278400208116
2,Vetorial,0,0,"[('12', np.float64(0.469), 1), ('51', np.float64(0.2792), 3), ('746', np.float64(0.2687), 1), ('884', np.float64(0.2277), 0), ('792', np.float64(0.2273), 0), ('1169', np.float64(0.2118), 0), ('14', np.float64(0.2034), 4), ('1042', np.float64(0.1884), 0), ('429', np.float64(0.1857), 0), ('141', np.float64(0.1847), 0)]",0.4,0.16666666666666666,0.23529411764705882,0.2019999634844881
3,Vetorial,0,0,"[('5', np.float64(0.3365), 3), ('485', np.float64(0.3027), -1), ('181', np.float64(0.2803), 3), ('399', np.float64(0.2765), 3), ('144', np.float64(0.2626), 3), ('90', np.float64(0.1719), 3), ('542', np.float64(0.156), 0), ('707', np.float64(0.1318), 0), ('1073', np.float64(0.1244), 0), ('944', np.float64(0.1235), 0)]",0.5,0.625,0.5555555555555556,0.6084974747474748
4,Vetorial,0,0,"[('166', np.float64(0.2553), 3), ('1275', np.float64(0.1892), 0), ('1189', np.float64(0.1828), 0), ('1312', np.float64(0.1746), 0), ('317', np.float64(0.1725), 0), ('410', np.float64(0.1696), 0), ('185', np.float64(0.1679), 0), ('236', np.float64(0.1675), 3), ('1085', np.float64(0.1664), 0), ('488', np.float64(0.1645), -1)]",0.2,1.0,0.33333333333333337,0.625
5,Vetorial,0,0,"[('103', np.float64(0.22), 0), ('746', np.float64(0.1458), 0), ('943', np.float64(0.1333), 0), ('1272', np.float64(0.127), 0), ('1032', np.float64(0.1238), 0), ('1374', np.float64(0.1215), 0), ('540', np.float64(0.12), 0), ('410', np.float64(0.1154), 0), ('36', np.float64(0.1124), 0), ('1379', np.float64(0.1102), 0)]",0.0,0.0,0.0,0.07510964912280703
6,Vetorial,0,0,"[('491', np.float64(0.245), -1), ('386', np.float64(0.217), 0), ('385', np.float64(0.1986), 0), ('257', np.float64(0.1639), 3), ('472', np.float64(0.1513), 0), ('775', np.float64(0.1402), 0), ('1273', np.float64(0.1355), 0), ('148', np.float64(0.13), 0), ('315', np.float64(0.1274), 0), ('861', np.float64(0.1243), 0)]",0.1,0.25,0.14285714285714288,0.08623569513162369
7,Vetorial,0,0,"[('492', np.float64(0.71), -1), ('434', np.float64(0.3227), 0), ('973', np.float64(0.2876), 0), ('1040', np.float64(0.2869), 0), ('57', np.float64(0.2747), 3), ('1231', np.float64(0.2666), 0), ('122', np.float64(0.2658), 0), ('56', np.float64(0.2651), 3), ('354', np.float64(0.2519), 0), ('947', np.float64(0.232), 0)]",0.2,0.4,0.26666666666666666,0.11431910758818095
8,Vetorial,0,0,"[('492', np.float64(0.2431), -1), ('122', np.float64(0.2151), 1), ('461', np.float64(0.154), 0), ('1083', np.float64(0.1525), 0), ('907', np.float64(0.1506), 0), ('443', np.float64(0.1454), 0), ('947', np.float64(0.1442), 0), ('569', np.float64(0.1414), 0), ('19', np.float64(0.1376), 0), ('354', np.float64(0.1368), 1)]",0.2,0.18181818181818182,0.1904761904761905,0.1689792383977404
9,Vetorial,0,0,"[('21', np.float64(0.3737), 2), ('550', np.float64(0.2805), 2), ('22', np.float64(0.2546), 2), ('306', np.float64(0.2358), 0), ('326', np.float64(0.2348), 0), ('571', np.float64(0.2272), 0), ('102', np.float64(0.2117), 0), ('45', np.float64(0.2082), 0), ('1215', np.float64(0.2042), 0), ('398', np.float64(0.1896), 0)]",0.3,1.0,0.4615384615384615,1.0
10,Vetorial,0,0,"[('493', np.float64(0.3249), -1), ('949', np.float64(0.238), 0), ('302', np.float64(0.2309), 3), ('1199', np.float64(0.2047), 0), ('691', np.float64(0.1896), 0), ('524', np.float64(0.1819), 0), ('1286', np.float64(0.1798), 0), ('405', np.float64(0.1739), 2), ('1214', np.float64(0.1711), 0), ('1009', np.float64(0.1661), 0)]",0.2,0.25,0.22222222222222224,0.12075832944745377
